"filename", "language", "YAML", "Ignore", "JSON", "JavaScript", "TypeScript React", "TypeScript", "JSON with Comments", "Properties", "XML", "Markdown", "Docker", "comment", "blank", "total"
"/Users/Nils 1/Desktop/Contredanse/life-art/.changeset/config.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"/Users/Nils 1/Desktop/Contredanse/life-art/.changeset/rare-zoos-taste.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"/Users/Nils 1/Desktop/Contredanse/life-art/.changeset/three-drinks-explain.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"/Users/Nils 1/Desktop/Contredanse/life-art/.codeclimate.yml", "YAML", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 31
"/Users/Nils 1/Desktop/Contredanse/life-art/.dockerignore", "Ignore", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 14, 44
"/Users/Nils 1/Desktop/Contredanse/life-art/.eslintrc.base.json", "JSON", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"/Users/Nils 1/Desktop/Contredanse/life-art/.github/workflows/ci-halprin-web-app.yml", "YAML", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 18, 130
"/Users/Nils 1/Desktop/Contredanse/life-art/.github/workflows/ci-monorepo-integrity.yml", "YAML", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 66
"/Users/Nils 1/Desktop/Contredanse/life-art/.github/workflows/ci-packages.yml", "YAML", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 69
"/Users/Nils 1/Desktop/Contredanse/life-art/.github/workflows/release.yml", "YAML", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 35
"/Users/Nils 1/Desktop/Contredanse/life-art/.gitpod.yml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/Nils 1/Desktop/Contredanse/life-art/.ncurc.yml", "YAML", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 10
"/Users/Nils 1/Desktop/Contredanse/life-art/.prettierignore", "Ignore", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/Nils 1/Desktop/Contredanse/life-art/.prettierrc.json", "JSON", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/Nils 1/Desktop/Contredanse/life-art/.yarn/plugins/@yarnpkg/plugin-interactive-tools.cjs", "JavaScript", 0, 0, 0, 370, 0, 0, 0, 0, 0, 0, 0, 124, 53, 547
"/Users/Nils 1/Desktop/Contredanse/life-art/.yarn/plugins/@yarnpkg/plugin-workspace-tools.cjs", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 20, 1, 29
"/Users/Nils 1/Desktop/Contredanse/life-art/.yarn/releases/yarn-3.2.0.cjs", "JavaScript", 0, 0, 0, 544, 0, 0, 0, 0, 0, 0, 0, 199, 43, 786
"/Users/Nils 1/Desktop/Contredanse/life-art/.yarnrc.yml", "YAML", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/Users/Nils 1/Desktop/Contredanse/life-art/CHANGELOG.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"/Users/Nils 1/Desktop/Contredanse/life-art/CODE_OF_CONDUCT.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 36, 133
"/Users/Nils 1/Desktop/Contredanse/life-art/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 46, 31, 123
"/Users/Nils 1/Desktop/Contredanse/life-art/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 25, 139
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 6, 14
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/.eslintrc.json", "JSON", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/.size-limit.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 2, 4, 42
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/CHANGELOG.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 30, 126
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/babel.config.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 3, 24
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/config/jest/test-utils.tsx", "TypeScript React", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 5, 22
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/jest.config.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 17, 4, 54
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/lint-staged.config.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/middleware/index.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/middleware/mongodb.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/models/user.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 7
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/next-env.emotion.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/next-i18next.config.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/next.config.js", "JavaScript", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 39, 21, 169
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/package.json", "JSON", 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 162
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/postcss.config.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 4, 3, 34
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/public/images/ui/menu/circle-question-solid.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/public/images/ui/menu/copyright-solid.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/public/locales/en/app.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/public/locales/en/common.json", "JSON", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/public/locales/en/system.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/public/locales/fr/app.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/public/locales/fr/common.json", "JSON", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/public/locales/fr/system.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/sentry.client.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 3, 12
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/sentry.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 0, 10
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/sentry.server.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 5, 3, 14
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/app-providers.tsx", "TypeScript React", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/backend/auth/checkAcces.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/components/banner.tsx", "TypeScript React", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 3, 46
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/components/layout/__tests__/main-layout.test.tsx", "TypeScript React", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/components/layout/main-layout.style.tsx", "TypeScript React", 0, 0, 0, 0, 315, 0, 0, 0, 0, 0, 0, 0, 2, 317
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/components/layout/main-layout.tsx", "TypeScript React", 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 12, 167
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/config/site.config.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 2, 15
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/core/config/site- config.utils.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/core/converter/__tests__/legacy-dvd-converter.test.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 2, 3, 36
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/core/converter/legacy-dvd-converter.ts", "TypeScript", 0, 0, 0, 0, 0, 266, 0, 0, 0, 0, 0, 3, 18, 287
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/core/i18n/get-server-side-translations.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 3, 19
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/core/i18n/i18n-namespaces.type.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 3, 10
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/core/types/index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/core/types/json-type.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/data/credits.data.ts", "TypeScript", 0, 0, 0, 0, 0, 667, 0, 0, 0, 0, 0, 0, 2, 669
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/data/data.types.ts", "TypeScript", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 11, 96
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/data/dvd_legacy/dvd.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 2532, 0, 0, 72, 299, 2903
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/data/media-category.data.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/data/media.data.ts", "TypeScript", 0, 0, 0, 0, 0, 5017, 0, 0, 0, 0, 0, 0, 2, 5019
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/data/tags.data.ts", "TypeScript", 0, 0, 0, 0, 0, 1259, 0, 0, 0, 0, 0, 0, 2, 1261
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/auth/components/login-form.style.ts", "TypeScript", 0, 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 8, 157
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/auth/components/login-form.tsx", "TypeScript React", 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 10, 151
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/auth/login-page.style.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/auth/login-page.tsx", "TypeScript React", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/auth/login.config.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/credits/credits.config.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 3, 11
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/credits/credits.page.style.ts", "TypeScript", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 8, 93
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/credits/credits.page.tsx", "TypeScript React", 0, 0, 0, 0, 195, 0, 0, 0, 0, 0, 0, 2, 6, 203
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/credits/repository/credits.repo.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/helpers/components/cred-modal.style.tsx", "TypeScript React", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 2, 45
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/helpers/components/cred-modal.tsx", "TypeScript React", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 6, 69
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/helpers/components/help-modal.style.tsx", "TypeScript React", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 2, 66
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/helpers/components/help-modal.tsx", "TypeScript React", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/helpers/helpers.style.tsx", "TypeScript React", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/helpers/helpers.tsx", "TypeScript React", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 1, 6, 80
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/home/home.config.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 3, 11
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/home/home.page.style.ts", "TypeScript", 0, 0, 0, 0, 0, 493, 0, 0, 0, 0, 0, 0, 18, 511
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/home/home.page.tsx", "TypeScript React", 0, 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 11, 11, 196
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/menu/embed/embed-menu.style.ts", "TypeScript", 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 0, 0, 4, 235
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/menu/embed/embed-menu.tsx", "TypeScript React", 0, 0, 0, 0, 279, 0, 0, 0, 0, 0, 0, 0, 5, 284
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/menu/embed/embed-mobile.style.tsx", "TypeScript React", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 2, 77
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/menu/embed/embed-mobile.tsx", "TypeScript React", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 5, 41
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/menu/menu-page.style.ts", "TypeScript", 0, 0, 0, 0, 0, 463, 0, 0, 0, 0, 0, 0, 20, 483
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/menu/menu.config.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/menu/menu.page.tsx", "TypeScript React", 0, 0, 0, 0, 440, 0, 0, 0, 0, 0, 0, 1, 9, 450
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/statics/about.page.tsx", "TypeScript React", 0, 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 4, 165
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/statics/bio.page.tsx", "TypeScript React", 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 4, 143
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/statics/editor.page.tsx", "TypeScript React", 0, 0, 0, 0, 563, 0, 0, 0, 0, 0, 0, 0, 4, 567
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/statics/statics.page.style.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/tag-index/components/container-index.style.ts", "TypeScript", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 4, 84
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/tag-index/components/container-index.tsx", "TypeScript React", 0, 0, 0, 0, 469, 0, 0, 0, 0, 0, 0, 6, 18, 493
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/tag-index/components/footer-index.style.ts", "TypeScript", 0, 0, 0, 0, 0, 240, 0, 0, 0, 0, 0, 0, 7, 247
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/tag-index/components/footer-index.tsx", "TypeScript React", 0, 0, 0, 0, 512, 0, 0, 0, 0, 0, 0, 0, 12, 524
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/tag-index/components/navbar-index.style.ts", "TypeScript", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 4, 80
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/tag-index/components/navbar-index.tsx", "TypeScript React", 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 9, 180
