Date : 2022-11-07 18:00:12
Directory : /Users/Nils 1/Desktop/Contredanse/life-art
Total : 209 files,  23306 codes, 951 comments, 1443 blanks, all 25700 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |         79 |     11,634 |        145 |        340 |     12,119 |
| TypeScript React   |         53 |      6,199 |        112 |        341 |      6,652 |
| XML                |          3 |      2,534 |         72 |        299 |      2,905 |
| JavaScript         |         22 |      1,344 |        453 |        168 |      1,965 |
| JSON               |         21 |        692 |         34 |         17 |        743 |
| Markdown           |         12 |        421 |          0 |        154 |        575 |
| YAML               |         10 |        355 |         35 |         65 |        455 |
| JSON with Comments |          3 |         47 |         28 |          3 |         78 |
| Docker             |          1 |         46 |         46 |         31 |        123 |
| Ignore             |          2 |         24 |         10 |         15 |         49 |
| Properties         |          3 |         10 |         16 |         10 |         36 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |        209 |     23,306 |        951 |      1,443 |     25,700 |
| .changeset                                                                                                                 |          3 |         21 |          0 |          4 |         25 |
| .github                                                                                                                    |          4 |        231 |         20 |         49 |        300 |
| .github/workflows                                                                                                          |          4 |        231 |         20 |         49 |        300 |
| .yarn                                                                                                                      |          3 |        922 |        343 |         97 |      1,362 |
| .yarn/plugins                                                                                                              |          2 |        378 |        144 |         54 |        576 |
| .yarn/plugins/@yarnpkg                                                                                                     |          2 |        378 |        144 |         54 |        576 |
| .yarn/releases                                                                                                             |          1 |        544 |        199 |         43 |        786 |
| apps                                                                                                                       |        135 |     19,989 |        373 |        965 |     21,327 |
| apps/halprin-web-app                                                                                                       |        135 |     19,989 |        373 |        965 |     21,327 |
| apps/halprin-web-app/config                                                                                                |          1 |         10 |          7 |          5 |         22 |
| apps/halprin-web-app/config/jest                                                                                           |          1 |         10 |          7 |          5 |         22 |
| apps/halprin-web-app/middleware                                                                                            |          2 |         28 |          0 |         10 |         38 |
| apps/halprin-web-app/models                                                                                                |          1 |         24 |          0 |          3 |         27 |
| apps/halprin-web-app/public                                                                                                |          8 |        108 |          0 |          5 |        113 |
| apps/halprin-web-app/public/images                                                                                         |          2 |          2 |          0 |          0 |          2 |
| apps/halprin-web-app/public/images/ui                                                                                      |          2 |          2 |          0 |          0 |          2 |
